timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 23:24:00,4.0,4.0,5.0,4.0,6.0,5.0,2.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,7.0,2.0,3.0,8.0,5.0,9.0,10.0,8.0,10.0,4.0,11.0,12.0,2.0,7.0,12.0,12.0,11.0,1.0,7.0,2.0,3.0,4.0,9.0,8.0,11.0,5.0,9.0,15.0,11.0,11.0,7.0,4.0,18.0,7.0,12.0,18.0,14.0,4.0,8.0,3.0,9.0,7.0,8.0,10.0,2.0,8.0,11.0,2.0,1.0,3.0,9.0,6.0,2.0,9.0,11.0,9.0,12.0,4.0,8.0,10.0,4.0,2.0,8.0,12.0,3.0,4.0,4.0,7.0,4.0
2022-08-05 00:24:00,-49886120493241.0,-106052357370904.0,-138906130362139.0,-104354636791720.0,-11214389436869.0,-20904078311552.0,-72282415861835.0,46564727669242.0,-105284280828087.0,-15973157146158.0,-54424294641075.0,-90912214408815.0,16323145706116.0,-116583184170655.0,-43053145286377.0,-89442536397655.0,-73365305885843.0,59080056202318.0,-17666762286948.0,-37826075015903.0,43573780286128.0,-6562994153323.0,109414151365112.0,5388001351147.0,8244772743095.0,21050917304721.0,-24365549253119.0,-36433351472598.0,12583885578400.0,63285834458664.0,158938925119956.0,-35996959813874.0,-245651688885189.0,55266689909760.0,-4540606973372.0,23115653721707.0,62738327138447.0,87302329282693.0,19816560425067.0,-17263173363662.0,51568743228369.0,-37413083468067.0,-60488166846927.0,55990443223336.0,-15599050187765.0,8776215565178.0,104661832588089.0,-37042659283371.0,32052815647345.0,-76863150596958.0,18075114215137.0,-43136462613594.0,21682564487280.0,-13285745903129.0,-20241799569324.0,-58492956274654.0,41138509068756.0,39728713072041.0,-33831084622983.0,11649283274255.0,63039495896973.0,8395903358471.0,35681494633863.0,123708838123662.0,25874249960231.0,75161949195463.0,29321604518812.0,-5564461228376.0,21382862715329.0,58192972046266.0,-55471682737209.0,12511895746915.0,-49801862810723.0,62673307551635.0,18871440564405.0,10120201211593.0,48810980759868.0,136081417844778.0,-81243427303923.0,26844349118857.0,-49907215244996.0,-39079110384951.0,22964771429672.0
2022-08-08 04:58:00,-0.0,-1.0,-2.0,-1.0,0.0,1.0,-0.0,-0.0,5.0,2.0,1.0,2.0,0.0,-1.0,8.0,2.0,-0.0,15.0,-0.0,5.0,12.0,6.0,12.0,13.0,13.0,9.0,6.0,11.0,14.0,11.0,17.0,2.0,6.0,6.0,2.0,3.0,8.0,11.0,9.0,8.0,12.0,5.0,14.0,7.0,13.0,2.0,9.0,4.0,13.0,15.0,5.0,1.0,9.0,9.0,4.0,6.0,13.0,13.0,5.0,12.0,10.0,9.0,5.0,3.0,7.0,10.0,5.0,11.0,13.0,10.0,10.0,6.0,8.0,13.0,12.0,6.0,9.0,20.0,10.0,16.0,-0.0,8.0,5.0
2022-08-08 05:58:00,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,2.0,7.0,3.0,0.0,2.0,1.0,0.0,7.0,4.0,-0.0,15.0,-0.0,4.0,11.0,6.0,10.0,12.0,12.0,8.0,7.0,10.0,13.0,11.0,17.0,3.0,6.0,7.0,3.0,3.0,7.0,11.0,9.0,7.0,10.0,4.0,13.0,6.0,12.0,2.0,8.0,4.0,12.0,15.0,4.0,2.0,8.0,9.0,2.0,6.0,11.0,12.0,5.0,10.0,9.0,10.0,5.0,3.0,7.0,10.0,4.0,11.0,13.0,10.0,10.0,6.0,8.0,11.0,11.0,6.0,9.0,19.0,10.0,16.0,1.0,7.0,5.0
2022-08-11 21:13:00,7.0,7.0,8.0,8.0,9.0,7.0,4.0,5.0,6.0,4.0,6.0,2.0,5.0,3.0,7.0,3.0,3.0,6.0,6.0,9.0,8.0,7.0,9.0,2.0,8.0,12.0,3.0,5.0,8.0,12.0,13.0,2.0,6.0,4.0,4.0,6.0,7.0,8.0,10.0,5.0,6.0,12.0,9.0,8.0,6.0,5.0,16.0,7.0,10.0,16.0,13.0,4.0,8.0,3.0,7.0,5.0,5.0,9.0,1.0,7.0,11.0,3.0,2.0,3.0,7.0,5.0,2.0,8.0,10.0,8.0,12.0,5.0,7.0,7.0,2.0,2.0,5.0,9.0,2.0,3.0,4.0,6.0,5.0
2022-08-11 22:13:00,6.0,6.0,7.0,6.0,8.0,6.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,3.0,8.0,3.0,3.0,7.0,6.0,9.0,9.0,8.0,10.0,3.0,9.0,12.0,3.0,6.0,10.0,12.0,12.0,2.0,6.0,3.0,3.0,5.0,8.0,8.0,11.0,5.0,7.0,13.0,10.0,9.0,6.0,5.0,17.0,7.0,11.0,17.0,13.0,4.0,8.0,3.0,8.0,6.0,6.0,9.0,1.0,7.0,11.0,2.0,1.0,3.0,8.0,5.0,2.0,8.0,11.0,9.0,12.0,5.0,7.0,8.0,3.0,2.0,6.0,10.0,3.0,4.0,4.0,6.0,4.0
2022-08-16 07:10:00,3.0,5.0,3.0,6.0,-1.0,1.0,3.0,6.0,0.0,4.0,-0.0,5.0,4.0,3.0,3.0,6.0,3.0,8.0,-1.0,4.0,13.0,10.0,4.0,13.0,10.0,6.0,7.0,7.0,12.0,15.0,15.0,3.0,7.0,7.0,1.0,2.0,6.0,10.0,5.0,8.0,6.0,10.0,8.0,9.0,8.0,5.0,11.0,10.0,13.0,12.0,17.0,-0.0,10.0,7.0,5.0,9.0,9.0,5.0,5.0,12.0,7.0,4.0,5.0,4.0,8.0,9.0,6.0,11.0,13.0,12.0,7.0,2.0,10.0,18.0,13.0,8.0,8.0,16.0,5.0,5.0,7.0,5.0,3.0
2022-08-16 08:10:00,6.0,7.0,6.0,10.0,1.0,2.0,5.0,8.0,1.0,4.0,-0.0,5.0,6.0,5.0,4.0,7.0,3.0,7.0,-1.0,3.0,11.0,8.0,4.0,13.0,8.0,4.0,8.0,7.0,11.0,14.0,14.0,3.0,7.0,8.0,3.0,3.0,5.0,9.0,5.0,7.0,3.0,9.0,7.0,7.0,8.0,5.0,10.0,10.0,12.0,11.0,17.0,0.0,8.0,7.0,4.0,8.0,8.0,3.0,6.0,10.0,6.0,3.0,6.0,5.0,7.0,9.0,6.0,11.0,12.0,12.0,7.0,2.0,9.0,17.0,12.0,9.0,7.0,14.0,4.0,5.0,8.0,5.0,3.0
2022-08-18 17:30:00,11.0,8.0,9.0,11.0,11.0,7.0,6.0,5.0,13.0,6.0,8.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,7.0,7.0,6.0,7.0,7.0,0.0,4.0,12.0,3.0,3.0,3.0,9.0,14.0,2.0,5.0,8.0,9.0,9.0,5.0,7.0,10.0,5.0,5.0,9.0,7.0,5.0,7.0,7.0,11.0,8.0,9.0,13.0,10.0,5.0,6.0,4.0,5.0,4.0,4.0,8.0,1.0,7.0,10.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,9.0,8.0,12.0,5.0,5.0,4.0,3.0,3.0,1.0,7.0,2.0,2.0,4.0,3.0,7.0
2022-08-18 18:27:00,10.0,8.0,9.0,10.0,11.0,7.0,5.0,5.0,12.0,5.0,8.0,2.0,4.0,1.0,5.0,3.0,3.0,4.0,7.0,8.0,7.0,7.0,8.0,0.0,5.0,12.0,3.0,3.0,4.0,10.0,14.0,2.0,5.0,7.0,8.0,8.0,6.0,7.0,10.0,5.0,5.0,10.0,8.0,5.0,7.0,7.0,12.0,8.0,9.0,14.0,11.0,5.0,7.0,4.0,5.0,4.0,4.0,8.0,1.0,7.0,10.0,5.0,3.0,5.0,5.0,5.0,3.0,7.0,9.0,8.0,12.0,5.0,5.0,5.0,2.0,2.0,2.0,8.0,2.0,2.0,4.0,3.0,6.0
